league,model,rps,logloss,acc,brier
seriea,ENS_logit_mean,0.38725697387981456,0.9840118686438768,0.5302897278314311,0.5865854574116277
seriea,ENS_mean_prob,0.38872594055254966,0.9853787682821034,0.5294117647058824,0.5879243785099861
seriea,ML_extra_trees,0.38898329331455384,0.9853651399535163,0.5302897278314311,0.5880317105906882
seriea,ML_logistic_L1,0.38907362007166574,0.9879837034192509,0.5373134328358209,0.5893223278496844
seriea,elo_gd,0.3906611891812703,0.989794240953912,0.52414398595259,0.5911327241120019
seriea,elo,0.3908720851994347,0.9900311418764891,0.5232660228270413,0.5913528687696128
seriea,bayes_hier,0.39123640627257217,0.9895068124715403,0.5258999122036875,0.5916787107813904
seriea,ENS_diverse5_mean,0.3912446736374686,0.9912124646579779,0.5258999122036875,0.5919365603179264
seriea,ML_multinomial_logistic,0.3912962813346281,0.9932801674306457,0.5276558384547849,0.5917824749743907
seriea,elo_mov,0.39137059556792475,0.9908550315049826,0.5258999122036875,0.5919137303042149
seriea,ML_random_forest,0.3918630449431794,0.9913214988629483,0.5311676909569798,0.5920758332143231
seriea,pi_rating,0.392010804269431,0.9925762504489232,0.5329236172080772,0.592762979898989
seriea,ML_kNN,0.3939371768607941,0.9983211763721853,0.5171202809482002,0.5966183786947615
seriea,negative_binomial,0.39437723385149326,0.9954920129153807,0.5285338015803336,0.5947038624128905
seriea,dixon_coles,0.39439163507357833,0.9955749184527604,0.5276558384547849,0.5946987324876318
seriea,skellam,0.3943929561798057,0.9955590610500145,0.5276558384547849,0.5946968828827025
seriea,massey,0.39442284861752763,0.9945029338127621,0.514486391571554,0.5948632983746514
seriea,poisson,0.3944247135654485,0.9956254600824502,0.5276558384547849,0.5947474139245564
seriea,zero_infl_poisson,0.39444170239576554,0.9956469435078041,0.5285338015803336,0.5947732346136482
seriea,bivariate_poisson,0.3945606504631524,0.9959243674591483,0.5294117647058824,0.5949741010373969
seriea,lambda_gap,0.39515834118622706,0.9981885305461615,0.5320456540825286,0.5953037476000381
seriea,colley,0.39627866027337566,0.997530329757223,0.5127304653204565,0.5970570053774589
seriea,davidson,0.39738527699743903,0.9992875034126613,0.5013169446883231,0.5981396316496691
seriea,poisson_shots,0.3977569526199419,1.000088052164653,0.5109745390693591,0.5990869046836639
seriea,shots_gap,0.39792155008781255,1.000333104938562,0.514486391571554,0.5991304453432227
seriea,ML_svm_rbf,0.3998484193575787,1.0054163637789604,0.5276558384547849,0.6007936052844571
seriea,kalman,0.40049629829978883,1.0053901059349049,0.517998244073749,0.6012171639484376
seriea,poisson_sot,0.4013822113300259,1.0047101811162218,0.5118525021949079,0.6020649225228636
seriea,sot_gap,0.4016119714587953,1.0069872711930736,0.5153643546971027,0.602740218219352
seriea,ML_neural_net,0.4021439223364851,1.0155283018025811,0.4890254609306409,0.6083374059341583
seriea,glicko,0.40325594083033234,1.0084117650942248,0.514486391571554,0.6046616997618259
seriea,points_per_game,0.4044593885882218,1.0101452756492277,0.5074626865671642,0.6051875767670658
seriea,dixon_coles_decay,0.40915935335879383,1.0170138063363774,0.5057067603160668,0.609700686857009
seriea,goal_diff_pg,0.4104914916883523,1.0249522245045524,0.5057067603160668,0.6119710074097832
seriea,form_last5,0.4291250082370344,1.0480554458950402,0.4749780509218613,0.6305749531229153
seriea,head_to_head,0.4429902758928573,1.0672644278119616,0.4442493415276558,0.6447476029209994
seriea,ML_hist_gbm,0.45760413149918794,1.1968880745372772,0.4626865671641791,0.690171640621272
seriea,BASE_rates,0.4576657699827194,1.0881909756231054,0.40210711150131695,0.6595361601798726
seriea,ML_naive_bayes,0.5319172203581358,3.203941074403381,0.5399473222124671,0.7804174913853585
seriea,BASE_always_home,0.8859433713784021,2.7615221568123913,0.40210711150131695,1.1605122036874451
