league,model,rps,logloss,acc,brier,test_season
epl,elo,0.3890712025829551,0.9416953343660114,0.5578947368421052,0.5561199930849938,2023
epl,elo_mov,0.3893308567157068,0.9428230453435849,0.5631578947368421,0.5570894637265001,2023
epl,elo_gd,0.3885098035060869,0.9414824968379522,0.5605263157894737,0.5561728226982589,2023
epl,glicko,0.3889310977687577,0.9431239178297319,0.5789473684210527,0.5568573172443011,2023
epl,pi_rating,0.393793365475818,0.9510728876985867,0.5789473684210527,0.5623027427249574,2023
epl,massey,0.3914394905421744,0.9470508720008378,0.5736842105263158,0.5593700631895432,2023
epl,colley,0.3873674838214727,0.9408448216776543,0.5605263157894737,0.5548338332281899,2023
epl,davidson,0.3887167694483531,0.9422831894771333,0.5526315789473685,0.5557946212482494,2023
epl,kalman,0.39877695359846543,0.9590803284295569,0.5631578947368421,0.5675263702444299,2023
epl,bayes_hier,0.388253108896002,0.941561752293179,0.5684210526315789,0.5559567788934314,2023
epl,points_per_game,0.4010609044273683,0.9606718904500583,0.5526315789473685,0.5692542239658474,2023
epl,goal_diff_pg,0.40412117050898133,0.9684130190531923,0.5763157894736842,0.5740617332246473,2023
epl,form_last5,0.42514353594912646,0.9986920868992676,0.5342105263157895,0.5952968834462461,2023
epl,head_to_head,0.4559793646841377,1.0401466924375231,0.4868421052631579,0.6258911191432203,2023
epl,lambda_gap,0.3938187786050692,0.9517176814018831,0.5789473684210527,0.5628467236214411,2023
epl,shots_gap,0.38515745551430847,0.9382875559770348,0.5815789473684211,0.5522688206185375,2023
epl,sot_gap,0.3882358183529888,0.941057631880033,0.5710526315789474,0.5560502299392549,2023
epl,poisson,0.39323072939834963,0.9520669313637347,0.5789473684210527,0.5620499127194531,2023
epl,dixon_coles,0.3932692899866839,0.9521688994810182,0.5789473684210527,0.5620894533554717,2023
epl,dixon_coles_decay,0.40675838023313254,0.9753377683004388,0.5605263157894737,0.5767296102690227,2023
epl,bivariate_poisson,0.3934759191239609,0.9527159715325646,0.5789473684210527,0.5623144993183591,2023
epl,negative_binomial,0.3934203709000194,0.9523650522719286,0.5789473684210527,0.5622505055253909,2023
epl,zero_infl_poisson,0.3932576673864751,0.9520996790927343,0.5789473684210527,0.5620736419281613,2023
