league,model,rps,logloss,acc,brier
epl,ML_random_forest,0.3993244264209395,0.9803898066145509,0.5359649122807018,0.5837157972778868
epl,ML_extra_trees,0.39952165535409473,0.9786202600187823,0.5368421052631579,0.5828617336571132
epl,ML_logistic_L1,0.4004948300113482,0.9851931193448009,0.5359649122807018,0.5865237960049301
epl,ENS_mean_prob,0.40069971626505285,0.9823743089270577,0.531578947368421,0.5848642605959479
epl,ENS_logit_mean,0.40107263036231056,0.9811905184439617,0.5307017543859649,0.5852341100527869
epl,ENS_diverse5_mean,0.40211836148977587,0.9838113014502503,0.5324561403508772,0.5865546619262519
epl,poisson_sot,0.4035678966135518,0.9858629398275168,0.5350877192982456,0.5874190370422533
epl,sot_gap,0.4039102149281164,0.9865638949690065,0.5324561403508772,0.5877688028805729
epl,elo_gd,0.4047291056788155,0.9866907234192254,0.5271929824561403,0.5891541136682922
epl,ML_multinomial_logistic,0.40473398600341204,0.9969330489849343,0.5271929824561403,0.5929234740492315
epl,elo_mov,0.4048446233508417,0.9869613577993519,0.5298245614035088,0.5893012789083226
epl,shots_gap,0.4049506888421746,0.9875485568272482,0.5307017543859649,0.5886482258786802
epl,poisson_shots,0.4052128691990751,0.9881661966349284,0.5307017543859649,0.5889567620742915
epl,elo,0.40570935078103065,0.988082810140783,0.5263157894736842,0.5901999907970576
epl,skellam,0.4073488148363421,0.9920074384803261,0.5298245614035088,0.5917258676865578
epl,lambda_gap,0.40735175034787363,0.9916426110092839,0.5289473684210526,0.5915809656447211
epl,zero_infl_poisson,0.4073519682384367,0.9920306585091981,0.5298245614035088,0.5917372308246123
epl,poisson,0.4073556264209949,0.9920244771257689,0.5298245614035088,0.5917351559622084
epl,dixon_coles,0.407380514786219,0.9920770243780194,0.5298245614035088,0.5917635576770107
epl,negative_binomial,0.4075372541236135,0.9923298423205743,0.5289473684210526,0.5919439695827361
epl,bivariate_poisson,0.4075373120106571,0.9924065426440066,0.5298245614035088,0.5919454181823385
epl,colley,0.40757263637615454,0.991316151041993,0.519298245614035,0.5914087744766421
epl,ML_neural_net,0.40812977195100386,0.9970807252150039,0.5157894736842106,0.5945986053944553
epl,pi_rating,0.4084085201868667,0.9930383438500533,0.525438596491228,0.592536535113205
epl,ML_kNN,0.40843177387914237,0.9934643382492092,0.5236842105263158,0.5916384015594542
epl,glicko,0.4090648210778414,0.9939178804319059,0.5219298245614035,0.5928269455253836
epl,bayes_hier,0.40975212781636333,0.9944526394017845,0.525438596491228,0.5935300219506804
epl,massey,0.4121333747730935,0.9981395982074673,0.5236842105263158,0.5961529425856404
epl,davidson,0.4121924956451616,0.9976183841058903,0.5052631578947369,0.5960992468629486
epl,kalman,0.4143013238151724,1.0019386196141364,0.5219298245614035,0.5987292773383974
epl,ML_svm_rbf,0.4150492207850421,1.005566140607192,0.5298245614035088,0.6006216590175187
epl,points_per_game,0.41648571382219507,1.0042316066507124,0.5228070175438596,0.6016266284653758
epl,goal_diff_pg,0.4187555763708347,1.0117805442059893,0.5236842105263158,0.6041460798738708
epl,dixon_coles_decay,0.4192569810557795,1.0108333630551387,0.519298245614035,0.6042950862343657
epl,form_last5,0.4383648322113263,1.038153925074969,0.48771929824561405,0.624491809647835
epl,head_to_head,0.4498373882124543,1.0537688738474977,0.4614035087719298,0.6348280387928528
epl,ML_hist_gbm,0.45798882375833866,1.1701483604821041,0.4956140350877193,0.6711317308662792
epl,BASE_rates,0.46489031881604587,1.0736331770031156,0.43157894736842106,0.6499948381553298
epl,ML_naive_bayes,0.5887680780502673,3.338129989714561,0.49473684210526314,0.8401056323078614
epl,BASE_always_home,0.8633947368421052,2.6263947478250023,0.43157894736842106,1.1033368421052632
