league,model,rps,logloss,acc,brier,test_season
laliga,elo,0.37388314195471195,0.9646294663027493,0.5342105263157895,0.5750585306299905,2023
laliga,elo_mov,0.3760731555360711,0.9687107112648954,0.5342105263157895,0.5775249357574571,2023
laliga,elo_gd,0.37536429897287904,0.9675940856972934,0.5368421052631579,0.5768047362267015,2023
laliga,glicko,0.39150810331959024,0.9935434710542406,0.5026315789473684,0.592968553463685,2023
laliga,pi_rating,0.3800255281487185,0.9735483421451143,0.5157894736842106,0.581205342041405,2023
laliga,massey,0.38074916076943544,0.9769244514680598,0.531578947368421,0.5821792473400498,2023
laliga,colley,0.38743383568545353,0.9876522879860168,0.5184210526315789,0.5888566884593031,2023
laliga,davidson,0.3835726897088054,0.9817676417043277,0.5263157894736842,0.5854521042740979,2023
laliga,kalman,0.39367527306234956,0.9961653646189094,0.5052631578947369,0.5953974797039211,2023
laliga,bayes_hier,0.3775203491511511,0.971896117205467,0.5342105263157895,0.5788163340791896,2023
laliga,points_per_game,0.38549019897499415,0.9821296991626675,0.531578947368421,0.5864196607140179,2023
laliga,goal_diff_pg,0.3902322815056542,0.991397838396681,0.5236842105263158,0.590424754018008,2023
laliga,form_last5,0.41476190201502505,1.0269649674905996,0.48157894736842105,0.615418422976721,2023
laliga,head_to_head,0.43446533447983166,1.0568227093833669,0.4394736842105263,0.6376184729554593,2023
laliga,lambda_gap,0.3882633203210803,0.9902467560558208,0.5184210526315789,0.5913240057617845,2023
laliga,shots_gap,0.40213896314695946,1.0083544763875478,0.5105263157894737,0.6041331693016363,2023
laliga,sot_gap,0.3920371322460894,0.9939502284141325,0.5184210526315789,0.5942109693316548,2023
laliga,poisson,0.38776422331659477,0.9895048187200789,0.5289473684210526,0.5913652770363335,2023
laliga,dixon_coles,0.38775067756957415,0.9894432250298145,0.5289473684210526,0.5913416677163172,2023
laliga,dixon_coles_decay,0.4061528318180241,1.0169265821998645,0.5131578947368421,0.6093438428051611,2023
laliga,bivariate_poisson,0.38827870667715736,0.9901686355022687,0.5289473684210526,0.5918952821314828,2023
laliga,negative_binomial,0.38788842199321466,0.9896253740156958,0.531578947368421,0.5914428609793072,2023
laliga,zero_infl_poisson,0.38774225409850643,0.9894629656272819,0.5289473684210526,0.5913121556410014,2023
