league,model,rps,logloss,acc,brier
laliga,ENS_logit_mean,0.3855872567731761,0.9664347359252021,0.5403508771929825,0.5739876293600155
laliga,ML_random_forest,0.38602705578519486,0.9704299209873026,0.5394736842105263,0.5752767914116211
laliga,ML_kNN,0.386223440545809,0.9732648371313443,0.5359649122807018,0.5770102339181287
laliga,ML_extra_trees,0.38776002566642714,0.972438343173194,0.5421052631578948,0.5767568263782602
laliga,ENS_mean_prob,0.38872195236767604,0.9728110751598802,0.5412280701754386,0.5776405188947413
laliga,ENS_diverse5_mean,0.3896122261324398,0.975721185392151,0.5342105263157895,0.5796684404588716
laliga,bayes_hier,0.38985944651594284,0.9755561365653429,0.5359649122807018,0.5792533006020565
laliga,ML_logistic_L1,0.3903998677605618,0.975105220543655,0.5333333333333333,0.5794527258681318
laliga,elo,0.39060055454097453,0.9766739302155597,0.5307017543859649,0.579210676118834
laliga,massey,0.3907894146332338,0.9765606909021384,0.5350877192982456,0.5799387424863761
laliga,elo_gd,0.39138092045789497,0.9777605884679963,0.531578947368421,0.5804886196282901
laliga,elo_mov,0.3921063759355778,0.9787749155799965,0.5298245614035088,0.5813390754122697
laliga,pi_rating,0.39242474211279815,0.9786865634442509,0.5210526315789473,0.5816512145872661
laliga,colley,0.39633576979528423,0.98540961072483,0.5175438596491229,0.5860357977769927
laliga,davidson,0.39653100212256553,0.9857958513511975,0.5219298245614035,0.5861452163713308
laliga,ML_multinomial_logistic,0.3965599059637228,0.9893829276763746,0.5114035087719299,0.5885384200559934
laliga,dixon_coles,0.3974571876057399,0.9872731898139204,0.5236842105263158,0.5878781599401555
laliga,zero_infl_poisson,0.39746992767520783,0.9873314094259461,0.5245614035087719,0.5878829579593772
laliga,poisson,0.39748201626159635,0.9873305922042184,0.5245614035087719,0.5879012952553895
laliga,skellam,0.39748682845894673,0.9873421813780201,0.5245614035087719,0.5879050855499331
laliga,negative_binomial,0.3975993390694943,0.9873619044261168,0.5263157894736842,0.5880213959852293
laliga,lambda_gap,0.3977413425603652,0.9881947026596156,0.5157894736842106,0.5879145788256779
laliga,sot_gap,0.3977463456652665,0.9872710849310248,0.5228070175438596,0.5880003084818545
laliga,bivariate_poisson,0.39792988172530197,0.9879685629386478,0.5245614035087719,0.5883945867634808
laliga,poisson_sot,0.3985906863411235,0.9884896609553081,0.5201754385964912,0.5891833002936812
laliga,glicko,0.40080498596832276,0.9929927060590475,0.5157894736842106,0.5914055613285946
laliga,ML_neural_net,0.4023724136460435,0.9927911782828649,0.5035087719298246,0.5915458893307941
laliga,goal_diff_pg,0.40292553345356524,0.995627610606621,0.5105263157894737,0.5927860646205317
laliga,kalman,0.4030503095097208,0.9949758089666716,0.5140350877192983,0.5936310398775401
laliga,shots_gap,0.40355471214701333,0.9958483311918132,0.5201754385964912,0.5939456843017699
laliga,poisson_shots,0.4050128366897597,0.9988642513437067,0.5184210526315789,0.5958928429958887
laliga,points_per_game,0.40624472280322343,0.9998892028090475,0.5078947368421053,0.5965760996603428
laliga,ML_svm_rbf,0.40743883190501023,1.0028171286343586,0.5368421052631579,0.5991166645116648
laliga,dixon_coles_decay,0.41321647940659023,1.0112575972380502,0.506140350877193,0.6050314591186502
laliga,form_last5,0.4259274363004435,1.0288435753091159,0.47368421052631576,0.6173554140529659
laliga,head_to_head,0.4392217030912518,1.0497976918285148,0.4614035087719298,0.6318130547469203
laliga,BASE_rates,0.4507248015779218,1.06538193236257,0.45789473684210524,0.6434664882082048
laliga,ML_hist_gbm,0.4595615876862852,1.178729328854721,0.4789473684210526,0.6773046119660153
laliga,ML_naive_bayes,0.5483854183673972,3.0504855447332964,0.5157894736842106,0.7901994809869245
laliga,BASE_always_home,0.7968684210526314,2.5057377089126187,0.45789473684210524,1.052284210526316
