league,model,rps,logloss,acc,brier
ligue1,ENS_diverse5_mean,0.41596659136749903,1.00370550149574,0.5059978189749182,0.5995584279983039
ligue1,ML_extra_trees,0.41603644781228477,1.0021311815236442,0.5125408942202835,0.5979171465799461
ligue1,ENS_mean_prob,0.41668298588702846,1.0015747587738806,0.5125408942202835,0.5982669274948317
ligue1,ML_random_forest,0.4169669501344095,1.0073385312050818,0.514721919302072,0.600192282002083
ligue1,colley,0.4172319702796554,1.000901055005404,0.5158124318429662,0.5978947624239266
ligue1,davidson,0.4184417202168854,1.0023879549282784,0.529989094874591,0.598813936924153
ligue1,ML_logistic_L1,0.41891675511215437,1.009021371856048,0.5169029443838604,0.6020020406171006
ligue1,elo_gd,0.41895976268243507,1.0053636373193469,0.5158124318429662,0.600262674670879
ligue1,elo,0.4190326005684979,1.005198279807061,0.5169029443838604,0.6001220061790224
ligue1,ENS_logit_mean,0.41914902457701914,1.0075911625873197,0.5125408942202835,0.6013840464316956
ligue1,elo_mov,0.41936891430617085,1.0059951901770399,0.514721919302072,0.6007362435433615
ligue1,massey,0.41957450596154455,1.004563151530494,0.5267175572519084,0.6006119135435953
ligue1,bayes_hier,0.419588498091978,1.0047790629104278,0.5288985823336968,0.6008769059853886
ligue1,ML_kNN,0.41983339391736346,1.0141200033754763,0.4961832061068702,0.6053283654428694
ligue1,pi_rating,0.4223767761682324,1.0093222527399024,0.5114503816793893,0.6041691647691676
ligue1,shots_gap,0.42334821972704717,1.0112668995235388,0.5103598691384951,0.604101639687339
ligue1,glicko,0.4236588347133585,1.0110307018849003,0.5169029443838604,0.6049517124892547
ligue1,ML_multinomial_logistic,0.42390358412293083,1.02115943309317,0.4983642311886587,0.6089743768702687
ligue1,sot_gap,0.42427749388653707,1.0130547218712327,0.4983642311886587,0.6052370039064445
ligue1,lambda_gap,0.4243349965220304,1.013029583951048,0.5027262813522355,0.6059327492590796
ligue1,poisson_shots,0.42435307456608,1.0136227479207889,0.5059978189749182,0.6056894111704677
ligue1,negative_binomial,0.42436534806619763,1.0138164167317836,0.5016357688113413,0.6064844259175249
ligue1,dixon_coles,0.42440428381793244,1.0140575784417996,0.5016357688113413,0.6065430845626997
ligue1,poisson,0.4244460973217957,1.0141455568752304,0.5016357688113413,0.6065952560861709
ligue1,skellam,0.4244465387241869,1.0141497986448291,0.5016357688113413,0.6065963408665133
ligue1,zero_infl_poisson,0.4244635299624365,1.0141689815426924,0.5027262813522355,0.6066295318275573
ligue1,bivariate_poisson,0.4244829410902912,1.0140951916210152,0.5016357688113413,0.6066002254814274
ligue1,ML_neural_net,0.42554544414068934,1.0248761051759685,0.49727371864776443,0.6124519866163018
ligue1,poisson_sot,0.42667053222090057,1.0171480059509659,0.48854961832061067,0.6083344605139929
ligue1,ML_svm_rbf,0.4289540047986569,1.0226437715879209,0.5070883315158125,0.6126873303479495
ligue1,kalman,0.42930770731008766,1.0202993263796118,0.48964013086150493,0.6115523165302029
ligue1,goal_diff_pg,0.4350079275191667,1.0302045141945768,0.495092693565976,0.6176213454215693
ligue1,points_per_game,0.4355663134629204,1.028755643027224,0.4798255179934569,0.6174584423501591
ligue1,dixon_coles_decay,0.4357482242279252,1.030910133485418,0.495092693565976,0.6191557324544347
ligue1,form_last5,0.45302170545907294,1.057257075196822,0.44383860414394766,0.6365393065183688
ligue1,head_to_head,0.45611553539681543,1.0559924737428072,0.46564885496183206,0.6372216895726478
ligue1,BASE_rates,0.46567847800457457,1.068838027602946,0.440567066521265,0.6467618797556505
ligue1,ML_hist_gbm,0.47304670943432037,1.1960292731494695,0.46673936750272627,0.6904683783741496
ligue1,ML_naive_bayes,0.6240312853659248,3.5422432373283494,0.4798255179934569,0.864933967749183
ligue1,BASE_always_home,0.8538914940021809,2.585184513814797,0.440567066521265,1.085899890948746
