game_id,season,week,top1_id,top1_p,top1_conf,top1_hit,top2_hit,vol_top1_hit,n_scorers,n_scorers_covered,recall_at2,recall_at3
2022_04_BUF_BAL,2022,4,4243537,0.5042773804589287,44.8,0,0,0,3,3,0.0,0.0
2022_04_CHI_NYG,2022,4,3127306,0.31100198472317486,32.0,0,0,0,1,1,0.0,0.0
2022_04_CLE_ATL,2022,4,15807,0.4767208548212991,61.2,1,1,1,4,3,0.5,0.5
2022_04_DEN_LV,2022,4,2576434,0.4595187423172141,54.1,0,0,1,4,4,0.0,0.0
2022_04_JAX_PHI,2022,4,4052042,0.44728864627854326,74.5,0,0,0,4,4,0.0,0.25
2022_04_KC_TB,2022,4,15847,0.4360535277606793,48.3,1,1,1,7,6,0.2857142857142857,0.42857142857142855
2022_04_LAC_HOU,2022,4,3068267,0.48226397977186275,69.3,1,1,1,5,5,0.4,0.6
2022_04_MIN_NO,2022,4,3116593,0.3144275135275544,55.7,0,1,0,5,5,0.2,0.4
2022_04_NE_GB,2022,4,3042519,0.43394538867614485,56.0,0,1,0,5,5,0.2,0.2
2022_04_NYJ_PIT,2022,4,4241457,0.45813225467287544,83.5,0,0,0,4,3,0.0,0.0
2022_04_SEA_DET,2022,4,2980453,0.6058522080709001,80.5,1,1,1,8,8,0.25,0.25
2022_04_TEN_IND,2022,4,3043078,0.458551647619276,81.9,1,1,0,4,4,0.25,0.25
2022_04_WAS_DAL,2022,4,3051392,0.42173476078169514,59.6,0,1,0,3,2,0.3333333333333333,0.3333333333333333
2022_04_LA_SF,2022,4,3126486,0.381743013741761,91.4,1,1,1,2,2,0.5,0.5
2022_05_IND_DEN,2022,5,2576434,0.4258965346230581,92.4,0,0,0,0,0,,
2022_05_ATL_TB,2022,5,3115364,0.4719057478745856,75.2,1,1,1,3,3,0.3333333333333333,0.3333333333333333
2022_05_CHI_MIN,2022,5,3116593,0.4813002070458836,72.7,1,1,1,5,3,0.4,0.4
2022_05_CIN_BAL,2022,5,4362628,0.528085167255726,53.9,0,0,0,3,3,0.0,0.3333333333333333
2022_05_DAL_LA,2022,5,3051392,0.36578667040978075,60.1,0,0,0,2,1,0.0,0.0
2022_05_DET_NE,2022,5,3925347,0.7442292635801914,81.7,0,0,0,1,1,0.0,0.0
2022_05_HOU_JAX,2022,5,4360238,0.5377471361932501,62.3,1,1,1,1,1,1.0,1.0
2022_05_LAC_CLE,2022,5,3068267,0.6155313742781328,82.9,1,1,1,5,5,0.4,0.6
2022_05_MIA_NYJ,2022,5,3116406,0.3641401230033181,48.6,0,0,1,6,6,0.0,0.16666666666666666
2022_05_NYG_GB,2022,5,3929630,0.34576569765510967,70.9,1,1,1,5,4,0.2,0.2
2022_05_PHI_ARI,2022,5,3045147,0.41013801627077084,69.3,0,1,0,3,3,0.3333333333333333,0.3333333333333333
2022_05_PIT_BUF,2022,5,4243537,0.595455130086898,42.0,1,1,0,4,4,0.5,0.5
2022_05_SEA_NO,2022,5,3054850,0.4981030731744641,65.6,0,1,0,6,6,0.16666666666666666,0.16666666666666666
2022_05_SF_CAR,2022,5,3126486,0.442395712046183,87.0,1,1,1,4,4,0.5,0.75
2022_05_TEN_WAS,2022,5,3043078,0.365154084049752,60.4,1,1,1,3,2,0.3333333333333333,0.6666666666666666
2022_05_LV_KC,2022,5,4242214,0.5575245369236367,50.0,0,1,1,3,3,0.3333333333333333,0.6666666666666666
2022_06_WAS_CHI,2022,6,4035538,0.3489044954252789,66.3,0,1,0,2,1,0.5,0.5
2022_06_ARI_SEA,2022,6,3917315,0.5902764737573081,59.7,0,0,0,1,1,0.0,0.0
2022_06_BAL_NYG,2022,6,3929630,0.5108489467667239,78.8,1,1,1,5,4,0.4,0.4
2022_06_BUF_KC,2022,6,4243537,0.5161658234799161,45.8,1,1,0,5,5,0.4,0.4
2022_06_CAR_LA,2022,6,3117251,0.36665705870047494,97.4,0,0,0,3,0,0.0,0.0
2022_06_CIN_NO,2022,6,3116385,0.43416805754834575,61.9,1,1,0,5,4,0.4,0.4
2022_06_DAL_PHI,2022,6,3051392,0.4000254978566634,78.3,1,1,1,5,5,0.2,0.2
2022_06_JAX_IND,2022,6,3895856,0.28412719070886094,42.7,1,1,0,7,7,0.14285714285714285,0.2857142857142857
2022_06_MIN_MIA,2022,6,3116593,0.7055212937917437,99.1,1,1,1,4,4,0.25,0.25
2022_06_NE_CLE,2022,6,4569173,0.7106414569864861,98.3,1,1,0,4,4,0.25,0.5
2022_06_NYJ_GB,2022,6,4427366,0.5323865008576302,68.9,1,1,1,3,3,0.3333333333333333,0.3333333333333333
2022_06_SF_ATL,2022,6,3126486,0.511047986165347,73.0,0,0,0,4,4,0.0,0.25
2022_06_TB_PIT,2022,6,3115364,0.510778050308468,57.7,1,1,1,3,3,0.3333333333333333,0.6666666666666666
