market,kind,model,n_train,n_test,auc,logloss,brier,cal,base,top5,top10,p60,n60,p70,n70,secs
h1,batter,own-rate baseline,86628,30355,0.5503535395226463,0.6679687157823727,0.2375618532592709,0.5961978324070772,0.6074122879262066,0.6728682170542636,0.6775193798449612,0.6407705064421483,15678,0.6841269841269841,1260,
h1,batter,logistic,86628,30355,0.5696070726309299,0.6629262905304127,0.2351387956149065,0.6080473213418724,0.6074122879262066,0.710077519379845,0.7,0.6509050173928425,16961,0.7079295154185022,2270,0.6
h1,batter,logistic L1,86628,30355,0.569656880198682,0.6629127848673256,0.2351321736512356,0.6081432936531753,0.6074122879262066,0.7116279069767442,0.6961240310077519,0.6507983267542568,16973,0.7076308784383318,2254,6.4
h1,batter,logistic + platt,86628,30355,0.5696070726309299,0.6629256251602504,0.2351384996934871,0.6080496876214792,0.6074122879262066,0.710077519379845,0.7,0.6509050173928425,16961,0.7077262693156733,2265,0.8
h1,batter,gaussian NB,86628,30355,0.557756799131222,0.666958407069232,0.236904499116726,0.6251495834662252,0.6074122879262066,0.6449612403100775,0.6534883720930232,0.6384669198480911,20012,0.662873399715505,2109,0.5
h1,batter,random forest,86628,30355,0.5644646233057383,0.6638935484511326,0.235612860821248,0.609894508661916,0.6074122879262066,0.7131782945736435,0.7023255813953488,0.6460997263945503,17909,0.7065446868402533,1421,13.3
h1,batter,extra trees,86628,30355,0.5680077372488417,0.663227468713467,0.2353023318103294,0.6117549512062791,0.6074122879262066,0.7162790697674418,0.7193798449612403,0.6445438861332758,18548,0.7523809523809524,630,4.3
h1,batter,hist-GBM,86628,30355,0.5675684325897943,0.66326389712093,0.2353198979715965,0.6098291948977648,0.6074122879262066,0.7224806201550388,0.703875968992248,0.6474913009316422,17818,0.7189460476787954,1594,1.4
h1,batter,gradient boosting,86628,30355,0.5657966139282622,0.663610147347019,0.2354614148127923,0.6085723032834703,0.6074122879262066,0.7209302325581395,0.6992248062015504,0.6470757210157417,17406,0.7012002526847757,1583,31.1
h1,batter,kNN (k=200),86628,30355,0.5547670434428942,0.6658470136994478,0.2365328594959644,0.6150189425135892,0.6074122879262066,0.7147286821705426,0.6922480620155039,0.6367140568682419,19976,0.6996047430830039,1518,3.0
h1,batter,MLP (neural net),86628,30355,0.5580043259947908,0.6691524881297319,0.2380102883818781,0.5993945471347591,0.6074122879262066,0.7193798449612403,0.6953488372093023,0.642617240950367,16078,0.6796482412060302,3980,5.3
h1,batter,STACK (LR+HGB+ET),86628,30355,0.5701310305852964,0.6627574075569687,0.2350741764727716,0.6091259135157657,0.6074122879262066,0.7131782945736435,0.7069767441860465,0.6484653213498389,17691,0.7112831858407079,1808,12.8
