policy,legs,slips,predicted,realised,ratio,leg_hit,mean_leg_p,fair_price,games,uniq_ok
safest,5,129,0.299653519796677,0.31007751937984496,1.0347868417839408,0.772093023255814,0.7834103830240863,234,4.325581395348837,True
safest,10,128,0.06326730835051289,0.0703125,1.1113559567044549,0.7296875,0.7559792976087321,1481,7.2109375,True
safest,15,128,0.011866423652114915,0.0078125,0.6583702241751332,0.7145833333333333,0.7405844222163791,8327,9.2109375,True
longest,5,129,0.2135714714118849,0.20155038759689922,0.9437140001166058,0.6961240310077519,0.7338767156099035,368,3.9844961240310077,True
longest,10,128,0.03915492400758212,0.015625,0.39905581216233005,0.69921875,0.7224374518147484,2454,6.609375,True
longest,15,128,0.006617911239779254,0.0,0.0,0.6859375,0.7143277382397716,15011,8.3671875,True
