tour,model,logloss,brier,acc,auc,ece
wta,ML_random_forest,0.6239587982104704,0.21737646791449175,0.6493014591741695,0.7066887493461348,0.013749401227862083
wta,ML_extra_trees,0.6240670217298441,0.21740405528316697,0.6503570319776467,0.7069138798680602,0.01532185696782526
wta,ML_kNN,0.6251222604043162,0.21789077305184726,0.6488668115492083,0.7056286416525076,0.019878919590189347
wta,ML_logistic_L1,0.6270215062680395,0.21858061697613562,0.6460105557280348,0.7052502845327752,0.030521892911567313
wta,ML_logistic_L2,0.627066797569592,0.21860011443890426,0.6457000931387767,0.7052016377343387,0.030915469436190796
wta,ENS_diverse5,0.6344520085084748,0.2217944788431804,0.6460105557280348,0.7033328929160031,0.04863897772398493
wta,ML_svm_rbf,0.6363803284749823,0.2224065676671073,0.6480596088171375,0.6932614912221735,0.02823879563131993
wta,elo_fast,0.6370338088806174,0.22355538131466407,0.6283762806581807,0.6843838986514731,0.01804507854308239
wta,ML_hist_gbm,0.6371188522584691,0.22238642541491474,0.641477801924868,0.694708316238187,0.03181388721876104
wta,elo_games,0.6380128209616116,0.2239520255828823,0.6288109282831419,0.6835877941041255,0.025294456228715956
wta,elo,0.6396183145782358,0.22475433007945614,0.6253337472834524,0.6801697692908586,0.021679404488648486
wta,elo_blend,0.6417270266320367,0.22563281236844085,0.6244023595156784,0.6777652761068962,0.023619496812626962
wta,glicko,0.6439156185799836,0.22629647073666584,0.6290592983545483,0.6799728022982058,0.029986446395096948
wta,ENS_logit_mean,0.6442088198734685,0.226331477080603,0.6396150263893201,0.6943053266544431,0.06273646572266177
wta,elo_slow,0.6457724071723636,0.22745396504238916,0.6171996274448929,0.6706709564859951,0.026793808898144887
wta,ENS_mean_prob,0.6472186382817269,0.22762197819736463,0.6384973610679913,0.692901183486359,0.0661534735275612
wta,bradley_terry,0.6489976294650316,0.2288196700745298,0.6160819621235641,0.6657515876272091,0.029506662259392392
wta,elo_surface,0.6572607936352566,0.23300606271154836,0.5965849115181621,0.6442779589670128,0.024095174253288887
wta,experience,0.6615184637963638,0.2343430027503102,0.6075131946600435,0.6459964751160345,0.032755071322211386
wta,winrate,0.6628835609781908,0.23521683535452761,0.6052778640173859,0.6437166354897557,0.02758061781319987
wta,games_won_ratio,0.6648297028671307,0.23610888064586172,0.6079478422850046,0.6483402911544883,0.04695047674923383
wta,seed_diff,0.6685194960444699,0.23798737214873078,0.5783918037876435,0.6144409674655219,0.02326066323757876
wta,common_opponents,0.6688643213713458,0.23802426308340918,0.6004967401428128,0.6368312127625215,0.040675928300250935
wta,surface_winrate,0.6731073147490813,0.24018885653868416,0.576466935734244,0.612578612561784,0.026545030038057974
wta,form_last10,0.6798907581583152,0.24344320819570295,0.5652281900031046,0.5921966548372117,0.02101322179027548
wta,fatigue,0.6853947098570254,0.24617761416482462,0.5417572182552003,0.5576111841276685,0.024166649484155846
wta,rest_days,0.689533204613906,0.24820755431101807,0.521825520024837,0.5342080098777108,0.02096899204411449
wta,BASE_base_rate,0.6931245324548575,0.24998867270886768,0.4961192176342751,0.5057496946053514,0.022862987175357397
wta,BASE_coin_flip,0.6931471805599455,0.25,0.4774914622787954,0.5,0.02250853772120459
wta,head_to_head,0.696337625861781,0.2512341907546796,0.5174790437752251,0.5393564961942534,0.046120782355425556
wta,streak,0.6999257042602071,0.25331217430122344,0.4747593914933251,0.4695487035890922,0.048361745494951563
wta,ML_neural_net,0.7049091999951658,0.2417325437810479,0.62135982614095,0.6664906079072682,0.09726854716424024
wta,ML_naive_bayes,1.7114671612683132,0.31018949764447235,0.6393666563179137,0.6948455873660494,0.282061066390768
