tour,group,n_cols,logloss,brier,acc,auc,delta
atp,(full model),22,0.6389578426861476,0.22376066616467555,0.6359150217464035,0.6904667262840783,0.0
atp,drop surface,19,0.6406439945258494,0.22450697748169643,0.6340749414519906,0.6881917688555461,0.0016861518397017772
atp,drop elo_family,18,0.6412774829641369,0.22482521787365986,0.6332385413181666,0.6866362180030922,0.0023196402779892544
atp,drop other_ratings,20,0.639958646039998,0.22420372762418456,0.6364168618266979,0.6889701881587772,0.0010008033538503325
atp,drop form,18,0.6403810363859324,0.22448414234555464,0.6348277015724323,0.6886878620898321,0.0014231936997847194
atp,drop matchup,20,0.6349251964315177,0.2218317040277498,0.6369187019069923,0.6951036765152974,-0.004032646254629957
atp,drop seeding,21,0.6394902743315939,0.2239302537993211,0.6353295416527267,0.6904814514712142,0.0005324316454462519
atp,drop physical,20,0.6392316139656588,0.2240405223858596,0.6359150217464035,0.6896086901895653,0.0002737712795111147
atp,drop experience,21,0.6392829938411746,0.22398525325883087,0.6371696219471396,0.6879257636689209,0.00032515115502695924
atp,drop context,19,0.6391143943126145,0.22383068071892093,0.6351622616259619,0.6902118629690882,0.00015655162646688314
atp,(surface features only),3,0.640719349065507,0.2251903149127745,0.6186015389762463,0.6777008288768647,0.0017615063793593455
