tour,model,logloss,brier,acc,auc,ece
atp,ML_kNN,0.6324300802892437,0.22147780821344928,0.633740381398461,0.6909445250130539,0.007285463365674158
atp,ML_random_forest,0.6324577935577731,0.22150804371685465,0.6342422214787554,0.6918047306931241,0.014872881532921479
atp,ML_extra_trees,0.6327521201294872,0.2216656730978928,0.6321512211441954,0.6906559981286134,0.011121645438062924
atp,ENS_diverse5,0.6373130574976231,0.2234522119040563,0.6278019404483105,0.6884765024645932,0.026098986161617987
atp,ML_logistic_L1,0.6388826804435291,0.2237382150724994,0.6355804616928739,0.6904591957225963,0.03823758233139446
atp,ML_logistic_L2,0.6389578426910687,0.22376066616598875,0.6359150217464035,0.6904667262840783,0.03815795949290788
atp,elo_fast,0.640586618725703,0.22523427370773225,0.6194379391100703,0.6776895190373154,0.02325442531662231
atp,elo_blend,0.6415614892298911,0.22558432399447803,0.6188524590163934,0.6761663579976298,0.024287407200891776
atp,elo_games,0.6415713505454803,0.2256016399043157,0.6150050184008029,0.6760075163401986,0.030157050684614422
atp,elo,0.6416607882000107,0.22573282717484172,0.6186015389762463,0.6751112115559238,0.023129017785430556
atp,ENS_logit_mean,0.64411795799907,0.22651647321974874,0.6262127801940448,0.6828031062194375,0.04366863042563983
atp,ML_hist_gbm,0.6456506094782165,0.2265889724892755,0.6272164603546336,0.6810395271053742,0.04026420799140557
atp,elo_slow,0.6461854725797359,0.22761449216823024,0.6107393777183004,0.6677807278542424,0.02814797602527542
atp,ENS_mean_prob,0.6470232266784861,0.22769303648206204,0.6254600200736032,0.6821718268089556,0.04819186441139179
atp,ML_svm_rbf,0.6471898994663446,0.22732912268903474,0.6358313817330211,0.678327181228533,0.03727675310572139
atp,glicko,0.6477731923655172,0.22823311877642355,0.617514218802275,0.6678584969984693,0.016271769959560357
atp,bradley_terry,0.649024200651725,0.22873751827869926,0.6062228169956507,0.6636678655096588,0.03026502895049792
atp,elo_surface,0.6524651766774597,0.23082792517986792,0.6035463365674139,0.6535054287789729,0.02424129667122405
atp,winrate,0.6616107317886498,0.23483343136648596,0.5909166945466712,0.6357508283337684,0.015140895981774823
atp,seed_diff,0.6656325802591527,0.23658239124959599,0.578203412512546,0.6195361157330282,0.012923437273795038
atp,games_won_ratio,0.6657639703106263,0.23655565405487192,0.5932586149213784,0.6386861516165736,0.02727560132953552
atp,experience,0.6672517846237088,0.23723687471576244,0.6076446972231515,0.6335808788461993,0.036505173373054686
atp,surface_winrate,0.6685650959357371,0.23812145976268492,0.5833054533288725,0.6198910179381893,0.01074888975379477
atp,common_opponents,0.6738349098832658,0.24036089240456143,0.5976078956172634,0.6245837475142149,0.03539881630614328
atp,form_last10,0.6782338245838585,0.24259872359722073,0.5735195717631315,0.5977444204698241,0.006860875481784863
atp,fatigue,0.6855788555961619,0.24622597759125017,0.547423887587822,0.558904093904366,0.021023037081167286
atp,rest_days,0.6909044908922279,0.24888823860127238,0.5073603211776514,0.5150582955041596,0.01058081227348734
atp,BASE_base_rate,0.6929996118032462,0.24992621312475105,0.5103713616594179,0.49624712088997913,0.002269398928819888
atp,BASE_coin_flip,0.6931471805599453,0.25,0.4896286383405821,0.5,0.010371361659417877
atp,streak,0.6990803566275801,0.25298120243483324,0.48628303780528603,0.464491610954509,0.0434087158680507
atp,head_to_head,0.6991544030200739,0.25225130146111513,0.5247574439611911,0.5406450018291706,0.03554131039101514
atp,ML_neural_net,0.7476376236393486,0.2541975625834454,0.6024590163934426,0.6466361989667285,0.12805130536115666
atp,ML_naive_bayes,1.8662973216534766,0.3223174015777652,0.6252927400468384,0.6831572945609637,0.2967883317178698
